Text Clean,Sentiment
bug perbaikimohon tencent perbaikilah bug bug mengakibatkan player pubgm protes,negative
suka game sampaisampai hp jual kebutuhan pinjam hp istri bikin akun pakai fb istri ngegila banget game eh tautau semalem banned kesalahan kecurangan aplikasi orang menguasai penjelasan bersangkutan suruh tunggu jam malam dibuka seru bikin males,negative
canda tawamu daftar mudah kereta tiada mencari menyediakan mencintaimu sederhana murah hati kereta ekonomi kereta mudah discord p top page rank blog kereta ekonomi bisnis manajemen keuangan dikenal,negative
update batas update update mb gb kecewa game bagus bikin ganass,negative
suka gk masuk oertandingan sihloading trus sampek mampus,negative
macth ngecrashsaya kaya main map tolong perbaiki musuh tim kelihatanagak kecewa,negative
game pubg diperbarui kesalahan mengunduh maps miramar sanhok render pesawat bug terjun payung pesawat bug parasut terbuka daratan mengambil senjata temanteman maps tolong diperbaiki pembaruan terbarunya,negative
tolong boz lagu hapus pas pesawat camp tuhmengganggu banget sumpah sihgame keren soundtrack gajelas parah,negative
tencent mohon watching memasuki lobby perang masuk tulisan connection server eror please check connection sinyal kuat g bermain,negative
game nge bug lepas hp nunggu log nge stak kode verifikasi hp suruh main puzzle ulang ulang hasilnya nihil,negative
tolong update map game update loading screen double download membuang,negative
login server respond pakai wifi ganti kuota g hasilnya error game,negative
update gk masuk game gagal login pemberitahuannya kesalahan jaringan gagal masuk tolong perbaiki,negative
game tahi update trus fitur ny gk da bgus trus smakin lambat pdhl jaringan dh oke kcewa,negative
game batle royal recomended grafiknya bagus kesel banget pas main sinyal haus kuat banget wifi tetep nge lag keras,negative
voice bug komunikasi susah reaload normal kmbali tolong perbaiki voicenya komunikasi lancar,negative
maaf guyss hp kentang kendalanya iphone setabil lag,negative
developer games bagus games patungnya hapus ajah seru perbaiki games lag permainan,negative
dipungkiri game bagus tolong updateannya bagus update cuman paintngapain tuh tencent tolong dengerin keluhan pemain berantas tuh cheaternya,negative
tolong perbaiki bug one shot bicara player terkena bug one shot susah saudara laki-laki kena bug mati melulu tolong perbaiki tencent maaf kasi bintang pubg nge bug nge bug kasih bintang,negative
min bug sinyal kadang kandang main squad tinggal orang satunya lost conek permainan sebabkan koneksi sinyal hilang bug fps turun fps step lawan dengar salah arah pubg mobile pubg new state aman ciiters terima kasih min untik min love pubg thun bermain min,negative
bagus gamenya bilang suka lag afk hp tuh jaman hp kentang main pubg pakai hp xiaomi redmi ramnya gb pubg minecraft coc pvz pvz lambat tuh hp gembel sono beli hp gih mahalan dikit hahahhaha bercanda v,negative
perbaiki bug mendapati player curang tolong ban,negative
habis update dino theme barubaru sulit mendownload data game perangkat infinix zero x neo isp xl axiata mobile,negative
tolong bug mic membereskan sebel banget bug mic main mic pengen normal login benerin please kesel banget kejadian kaya,negative
parah server stabil reconnect jaringan bagus wifi cellular,negative
sumpah serasa parah game ram gb ketemu musuh lag banget bosan game kyak gini,negative
tencen masuk pertempuran masuk masuk bangat jaringan bagus bagus rank turun diamond platinum mohon perbaiki,negative
nyesel update jelek tolong kembalikan metro royalnya hilang petanya beda seru seruang dulunyesel pokonya update datanya hilang kecewa bngt,negative
updet ping parah main perbaiki donk nyesel updet,negative
ukuran coba bikin data hp ram giga main ram frame parah player pindah gara device,negative
grafiknya bagus request jalan manusianya lihatin tubuhnya kak game black ps lihatin senjata game hd jelek separuh tubuhnya tubuhnya lihatin lobby berperang biar enak yah lh semangat tencent,negative
game serutapi butuh performa handphone oke memainkannyauntuk grafik bagus,negative
manthap jiwa game favorit game online jantung gugup pas bunuh musuh seru cewek main pubg cantik sombong,negative
bug tencent asulah masuk rumah ambil senjata kendaraan musuh mati asuuu,negative
gila matchmaking banget menit langsung uninstall apaapa rugi kuota rating turun pensi,negative
baca player komen gajelas trus bintang klau main trus batasan main jam pengaturan trus pilih opsi ubah tuh umur keatas voice hilang main lobby relogin mati step musuh peta step didenger step peta delay perdetik memperbarui keberadaan musuh komen game kekurangannya,negative
kecewa update layar full pengguna minote kecewa layarnya terhalang note kayak batas pas note mohon diperbaiki,negative
player pubg kecewa update bug contoh pesawat terlihatterjun gapake parasut debawah masuk rumah ambil senjata bug lain² nyatolong tencent update bner² bikin palyer pubg beralih game bug² tolong diperbaiki,negative
mode team death match pata² melulu jaringan bagus team death match pata² jaringannya ijo auto downloadnya hilangkan mohon bantuannya,negative
update males main bug jelasturun pesawat loting senjata lihat teman frame parah player pubg uninstall game,negative
update gagal teruus udh download instal gagal buang buang kouta nihtolong donk kasih permasalahnya pubg update,negative
kasih bintang update ngebug settingan controlnya berubah random custom lgsudah aetting kali ttap berubah setingan controlnya tolong perbaiki min,negative
game sial ratingnya berkurang ngotak banyaknya secuil doang pdhl performa deh bagus sampah,negative
unistal update ngabisin kouta game pemerasan boros ram kouta nambah nambah bug bye bye ganti games sebelah,negative
plisss tolong permasalahan server perbaiki tencent server nyangkut eropa asia nunggu auto uninstal bye pubg,negative
pengguna android biarpun ram hp keatas snapdragon keatas hp tetep nge lag hp android bedabeda sistem operasi xiaomi pakai miui oppo realme pakai coloros developer susah menyesuaikan hp beda iphone cuman iphone pakai sistem operasi ios saran nabung beli hp minimal iphone saran,negative
game banyaknya cheater bug pas turun keramaian unfollow turun komen bintang lag hapemu kentang mas jaringanmu jelek,negative
sistem rank pengen main teman ngk teman gold crown turunin rank platinum ngk,negative
masuk game tulisan please enable storage permission atur restart game enable berkalikali mohon tanggapannya,negative
tolong tencent update san skin kebanyakan update menari pemain main pemain pergi game berat,negative
lambat capek kali update lelah hmmm sedih sayang seru pubg sumpah lambat banget starting melulu hapus sebulan gini gini melulu perubahan,negative
kekurangan pubg ketemu musuh suka lag sinyal bagus suka lag kontrol macet macet merugikan banget,negative
tolong tensen keren kadang main metro kena bug skop kayak getar gitu skop ujung ujungnya lawan missing merugikan user sniper tolong tencen,negative
mantap banget grafiknya trus kayak real gitu trus mode kayak main gituuu pokoknya seru deh,negative
game baaabbbbiii kali selesai update taaaaaaiiiiiiikkkkk kecewa kuota habis gara update gb tencent setan ram hp siaaalll internet mbps kesalahan jaringan game beres,negative
tencent tolonglahklo update pubg bugnya dihilangkan dibkin parah bgaimana nasib hpnya ram gb mohon secepatnya perbaiki,negative
official pubg please player cheat tindak lanjuti discconet pengeluhan player,negative
pas update game lag jaringan g game patah patah kayak ngelag pas kondisi kayak tembak musuh pas berdekatan game lag main aman aman tolong diperkecil ukuran game kedepan hapus fitur biar game v,negative
bintang kecewa berat krafton gatcha gapernah hitam tolong bang krafton pelit pelit,negative
game bagus update biar ho ram main mohon benerin bug motor terbang bug pohon apartemen samping school,negative
frame drop bugbug masuk tanah kendaraan meledak terjepit batu adjust scope spectator berfungsing teman team hidup system gacha isinya sampah,negative
ane kasih bintang bug parah banget sesuai update zombi mendi hapus memberatkan,negative
tolong benarin pembelian prime pluss pembelian berhasil pulsa terpotong notice server error prime plus terbuka metode pembayaran tsel tolong fix ngalamin kejadian semoga pubg mobile cepat menanggapi error pembelian prime plus secepatnya,negative
kedepan berat gamenya dimainkan kalanga penggunaan ruang penyimpanan,negative
min help grafik ngeblur tulisannya ngeblur versi pubg skrng hp xiomi note x profesional gb ram sedih ane,negative
game parah bugnya parah capek main gini turun pesawat perbaikilah update baju doang,negative
menyenangkan download gb tinggal cuk ngulang habis kuota gb,negative
ngekil kesalahan jaringan gitu kena ban gk ngecheat tolong perbaiki gini chicken sumpah gk faham pubg,negative
main game spek kentang vivo aman² gada kendala bug push conqueror update main ngelag parah kaya bunyi gtu pdhl jaringan support penyimpanan saran pubgnya kayak min grafik high kenyamanan kelancaran player main biar gamenya ramai kaya saran terima kasih min,negative
tencent mohon perhatikan kesini pubg lambat gagal masuk server merespon tolong perhatikan update update bagus update hancur kecewa pubg cheater,negative
maaf admin marah gk jelastolong mentingin skinmapsenjata barupentingin sinyal bersahabat sinyal bagusbug bug laincheateritu update betulinbukan sikit sikit update skinskinskintp lupa bikin nyaman pemain,negative
kecewa kasih bintang biar tencen mikir perbaikan player nyaman puass game iniapalagi main buruk kadang delay kadang dc masuk masuk main pabji hadeuh,negative
game bagus bug bud turun lootan muncul tolong perbaiki tencent,negative
update terbaru gamenya parah ngebug ngebug pesawat terjun trus buka pintu senjatanya kasihaaan tolong perbaiki gamenya,negative
update pubg terbaru hapus aplikasi download gagal mohon bantuannya ram internal memori download game kapasitas,negative
tolong tencent bug lainya fi perbaiki bug tas peluru atribut amrmor update pas pakai bom masuk dalamnya fps drop tolong tencent kenyamanan player perbaiki yahhh terima kasih,negative
download dipersulit nungguin download berhenti sinyal kenceng ram longgar berhenti mengecewakan download download pakek data aaah tahi banget,negative
kecewa knock terjun pesawat trus main squad pemain turun mobil delay update kurangnya bug main arcade pelurunya terbatas buka pintu susah bug render jarak nge frame pakai wifi ngebug ngeframe bug mohon perbaiki player pubg mobile nyaman memainkannya,negative
parah pubg admin sadar kali main nge bug patah² jaringan super kuatupdate perbanyak anehhh,negative
permasalahan bug larikadang tombol controler hilang gk cinta gk ambil senjata tolong perbaikin game bug parah bug menjengkelkan banget,negative
bug tdm senjata musuh teman rank tetep cuman diem mati kaya sinyal,negative
saran update updete skin doang updete ngelak melulu hp ram snp ttp ngelaq unital game bagus,negative
mode ambatron buruk asyik banget mainkan,negative
zztt download tibatiba gagal mendownload nunggu download mengulang padaha sinyal bagus full tolong perbaiki lagii,negative
merasakan pembaharuan game ribet kali coba pembaharuan pembaharuan kekurangannya hitam game usahlah,negative
tolong player usil mode trening mengganggu banget sukur² kasih sangsi banget player usil mode trening menggangu,negative
kasi bintang tolong terusmenerus update aplikasi sunggu ram sayang peminatnya game update ram player hp habis peminatnya berkurang,negative
player pubg kecewa salah ganti server nunggu menggantinya maaf berhenti bermain game,negative
masuk lobby tekan tombol laya smrtphone mati pasa hidup home screen layar hp mati mendengar bunyi tembakan situasi bertempur harap perbaiki team pubg,negative
game asu game play even konyol wh dimana cocoknya game sampah wajar kalah ff kesini konyol game cari untung update update tahi segalaemang pantes rate kayak tahi game play,negative
bagus ram cocok hp tidk bagus sarannya kurangi ram gb merasakan game pubg bagus,negative
turunkan bintang update lancar buka mainkan jam game pubg mobile buka menampilkan memeriksa pembaruan tunggu pemberitahuan layar loading kesalahan koneksi mohon penjelasannya menghabiskan uang game membeli stick asesoris mohon konsumen rugi menyesal,negative
x download gagal jaringan koneksi kuat pas mencoba download tolong perbaiki kecewa,negative
apdet game nambah burik kayak game sebelah tencent tolong diperbaikin pas main disconed melulu,negative
bug bug jalan kepiting turun kendaraan frame drop ganti developerv,negative
tolong admin pubg hapus sistem menghentikan permainan mengganggu pemain seru serunya permainan berhenti udahlah main mobile legend deh sistem apus adminnya download,negative
buruk koneksi bagus permintaan habis teruss tolong perbaiki emang hp android pakai hp iphone pilih kasih gitu tencentsemakin kesini buruk ajaa game,negative
hallo tencent games keluhan kecewa sinyal bagus knapaa bosa masuk masuk tulusan permintaan habis tolong perbaiki jngan hanyaa mencari untungg pikir plyer nyaa sblum updeth pikirkan teepengaruh berjuta jutaa menghabisi uang game pas upgread mangkin parah mangkin bagus tolong perhatian nyaa tencent trimaksih,negative
pemain menjebak pemain random player lokasidalam game battle royal posisi strategi developer inikalau penguna aplikasi ketiga ngak asing bansitem match making jelek pemain ruangan beda tim randombisa matchauto posisi mudah taudan dilaporkan tindakan mic kedengaran,negative
keluhan gapernah perdulikan perangkat kelas menengah berharap memainkan lancar game khususkan perangkat kelas game gajelas,negative
tolong perbaiki bug lobby kepencet buyi bug salah tekan tolong perbaiki fps turun tolong kasih stabil bug memuat jaringan bagus tolong perbaiki secepatnya tencent,negative
menghibur bug kurangin mendarat bug dimana karakter berputar masuk tanah mengganggu musuh mendarat sempurna senjata terimakasih tencent,negative
habks update main ngebug ambil senjata tolong diperbaiki habis update mb main,negative
bagustapi masuk peemainantiba sendiritolong mainrangking royal pass kasih imbang donkkn gk adil pemain trus beehadapan level royal pass yv lv,negative
tencent games tolonglah bug cepat benerin uodate season kaya gini login kaya gini kayaknya player pindah ff,negative
tencent games tolong perbaiki patahnyapas season udh bagus engga patah eh pas update mb patah sekaranv season patahnya nambah parah suara peluru pas cinta lambat patah kalah lawan patah toling perbaiki tencentkarna game favorit tencent buatlah perangkat keamanan kuat biar cheater game guardian izinkan masuk aplikasi semoga perbaikan tencent oh tencent semenjak seasin mengalami pas main tutup aplikasi tunggutoling tencent diperbaiki ram ruang main pubg season lohkarna pas season ngeframe ngefreezh,negative
please tencent gamesjgn pelitsaya habisin uc skin vss sajasaja menyarankan ngebind akun google akun hilangkarena sanya akun google sajadan perbaiki petanya daratan peta cacadjadi mati tertembak petanya cacadrumahnya jadidan jaringanya g ngelag ngebug,negative
overall bagus perbaiki jaringan delaynya kerasa banget ping ms delaynya parah,negative
game pembaruan jelek main erangel mode halloween halloween berkali kali kena pelanggaran main klasik player suka mode halloween gelap,negative
update parah server berat mode memperberat gamedan update download sumber daya,negative
gamenya bagus candu memainkannya event diganti mech clash gasuka gajelas banget eventnya,negative
tencent tolong perbaikin pakek hp ram ram ngefrem gk kuat game broken ajg turun pesawat susah masuk mobil susah tolong perbaikin,negative
maap tencent komplen update maaf download hihihi penah main pas update selesai data obb hilang coba download manual obb google chrome banged uninstall download ulang pubg tolong perbaiki tencent masakah bug mic terima kasih,negative
akun spin susah banget dapetin skin,negative
gama bug memuat bermain bergerak detik bug recall merugikan komplain respon game rusak kayak gini upgrade bug mendingan update biar bug,negative
kendaraan turun mengharapkan kendaraan pergi disitulah loot nyeper senjata bangsat tencent konsisten kendaraan jalan kendaraan jancok,negative
mengerti maksud dipasangkan tier lawan tier cmon man gold disandingkan ace ace lawan gold hadeh,negative
menyelesaikan misi royal pass misi harian kebaca tencent games extra misi x mainya x keterangan klaim teman gitu,negative
anjing game apdate menyesal game jaringan tolong kondisikan audio terdengar rekan tim bermain kecewa jaringan gk stabil pakek wifi tolong perbaiki kesalahan,negative
tencent bajingan amet pas masuk lobby gk respon servernyagk masuk sinyal bagus² ajaujung² afk mati bikin poin rank turun tai,negative
update bagus jelek pesawat loncat ngeloot dirumah rumah senjata teman nampak map pokoknya kali hapus bikin penuh memory hp game,negative
gemenya login suruh download melulu dahsesudah download eror login pubgnya tolong adminnya kayak gini maaf bintang gemenya gk login,negative
pembodohan public update dikit doang gb updatenya mengecewakan hp speck rendah gx main,negative
game play berat berat suka nge lag frame drop menyedihkan player hp terbebani ukuran pubg berat tencent bertindak player pubg beekurang drastis terbukti rating sekian semoga permasalaahan frame drop teratasiselain updatebyv tamabh membebani hp dasar anjingg kenap update stuk,negative
kali komen kasih bintang kesini gajelas sinyal pdhl bagus wifi lancar banget gabisa login sampek instal ulang gabisa masuk hp lho main aneh update tambak rusak,negative
pas update nge bug hp snapdragon nge bug relog ngeselin bikin turun rank,negative
main pakai kartu xl jaringannya bagus gameplay kaku hp ram gb rom gb seminggu lancartapi kaku bangettolong rencent memperbaiki,negative
bug parasut mengganggu push rank turun lepas landas jatuh parasut mati permainan merugikan poin tier mohon perbaiki pindah game,negative
yth pubgm tolong dengarkan keluh kesa player pubgkita main fps lawan fpskami pertandingan adil main gara² game sepi undown kalah seruh pubg terimakasih,negative
tolong dev tencent mohon naikin data²nya kasian ramnya gb main lambat banget jaringan ping ms drop sinyal koneksi kenceng,negative
pubg jelek bug selancar putus main game berat versi barunya tolong benerin jaringan stabil hp ram main nge bug payah realita isu bohong,negative
hapus fitur spectate orang dipakai xray lokasi musuh ban pan security berjalan scanning player bermain classic mencedrai sportifitas pemain dengar level infinite,negative
tencent terhormat kecewa update main pubg season kali kecewa sensivitas slama bagus skrg harapan goyang bidik musuh gyroscope berat kasih minus bintangnya,negative
game battle royale terbaik segi apapun kekuranganya kapasitasnya download hitam shop inventory gb apk full map gbisa rasain diseluruh map slalu patah habis update lihat cheater smakin main keamanan smakin mnurun,negative
tencent updapte maslah tier qonqueror susah masuk cheater coba perbanyak pringkatnya biar player player ngecheat gitu saran,negative
update buruk mohon perbaiki contoh step musuh kedengaran samping musuh bug menting event,negative
dear tencent games players unknown battleground bagus segi grafik gameplay jaringan saran mohon update event event bagus okitu terima kasih,negative
cobalah tencent lihat pembaruan buka youtube jaringan kuat main pubg jaringan g h pembaruan bug hitam sediakan bagus hoki lebeh top ngeri kali cari duitnya lancar parah,negative
update kali bos barusan deh trus gagal size aplikasi nambah trus diupdatenya ulang gagal size deh nambah update anjg,negative
game bagus main masuk internet lancar cheater mohon diperbaiki,negative
recommended banget main gamenya bagus gameplay seru grafik bagus emang susah ngeaim heal tombolnya udh kekurangannya bug smoke player toxic,negative
kalah call duty biarpun rider call duty mobile edit grafiknya controlnya bidik zoom good call duty bilang call duty rendahan bandingin eh bilang hpnya blank q saranin q akun call duty mobile tingkatkan kualitasnya controlbidik,negative
tolong tencen games memprioritaskan kaya ajakami masarakat ekonomi kebawah menengah pengen bermain fps grafik memadai lag framelancarin gamenyakami pengen rasain sensasi,negative
sehabis update graphic hancur kayak main minecraft game cursor gerak map miramar gabisa bedain musuh rumput garagara graphic kotakkotak update gb kecewa doang,negative
server menanggapi masuk game sinyal stabil giliran masuk server menanggapi ulang server benarasia eror gitu tencent tolong diperbaiki kehilangan playernyaa,negative
masuk suruh download obb service running,negative
hei tencent games main update nglag nglag koneksi stabil tulisannya peladen merespon periksa koneksi tolong biar game favorit,negative
berat aplikasinya membingungkan tertulis mb diperbaharui skrng udh gb selesai downloadnya tolong penjelasan ttng merugikan skli pemakaian data,negative
laen sistem hukuman game kena sanksi bikin gerak pas main game alasannya bunuh teman team sengaja ngewar musuh nabrak pakek mobil team langsung brutal mobilnya teman knock duluan mati gara gara deketin mobil meledak kena sanksi teman discord full musuh sisa ampek menanggw teman diem kondisinya untung ngeprone menang,negative
susah dibuka update coba cek ramnya memory internalnya memory internalnya,negative
dasar game rusak anjing main ngelag pakai wifi data parahnya emang diloby bagus jaringannya pas main ngelagnya ampunn bikin banting hp jaringannya hijau digame biar gerak nggk dasar game rusak anjing,negative
memakan memory pubg skrg pubg tolong kurangi pemakaian ram biar gk nge bug bermain,negative
serius habis update map rusak teman mini map ambil senjata musuh update deh udh kali game report tetep gini kali habis bngt update update gede paapa sepadan lancar ngebug melulu gede bngt musim semi apalah korbannya kelancaran game hancur game ancurr,negative
maaf sebelumnyasaya perihal dimana disito hadiah airpodsmenurut keterangan hadiah dikirimkan tanggal marethingga kemarin april menanyakansaya disuruh menerus menunggudan hasilsaya profesional pubg mobiledan anehnya bermain pakai fb perbincangan game fb dinonaktifkandan support pubg mobile kabar,negative
pubg hilang server sihkecewa player bintang kemarin turun lahbesok hilang server naikin bintang,negative
susah mengupdate aplikasi jam pagi sore update jaringan internet ngak uninstal download tolong bully,negative
tolong perbaiki kesalahan pakai wifi mengunduh otomatis bekin leg parah jam selesaiselesai,negative
tencent banned kecewa main season buang buang tolong unbanned akun hubungi via email akun upgrade royal pass season upgrade user old kecewa keputusan dibanned gajelas,negative
season jelek banget donload play store donload gb sdh bukak donload kali jelek suka season jelek banget,negative
teruntuk developer tolong kembalikan sistem server sistem server merugikan player mengganti server mengembalikan server menunggu server amerika utara memiliki ping main server asia memiliki ping nyaman dimainkan semoga sistem server,negative
akun ban melakukakan kecurangan apapun memindahkan file obb kartu sd aplikasi tambahan bermasalah mohon maaf memindahkanya memori internal menginstal file obb pubg mobile,negative
tolong perbaiki musuh drop fpslag koneksi ping stabil hijau ms turutama turun ramai botcamp paradise lag ampun,negative
tolong update kayak instal habis habisin kuota semoga ukuran update perkecil grafik bagus bug hilang tolong kembangkan ingattt ukuran update nyaaa,negative
game enak realistis tolong bunuh musuh jaringan marah tolong jaringan diperbaiki,negative
update kayak gmn gitu mainnya framenya ngelag gitu pubg sblm turun arena kumpul camp trus pakai mobil bandara pas dibandara dilihatin pesawat kayak asli dlm pesawat lihat musuh lbh keren updatenya ayo tencen bikin aslinya kasih bintang,negative
download aplikasi pubg gagal berhasil berhasilselalu gagal downloadtolong diperbaiki kembalikan data hangus download pubg gagalsaya kesal data paket berkurang download pubg gagalsekarang hangus sajasaya kasih bintang kesal gagal,negative
pubg semenjak update godzilla vs kong frame parah yahp processor sd ram internal legatemen pakai mi profesional frame parah map saatmohon tencentdeveloperkami mohon perhatian perbaikan segeraterima kasih,negative
pubg gajelasmasa pemula musuh levelnya,negative
wewe gini gem login disuru ganti set ganti set gk gini kuncinya tahan aplikasinya trus gambar tong sampah gitu trus hapus kelar,negative
tolong perbaiki update pubg berat lag patahpatah semangat main pubg males frame drop,negative
tampilan gamenya buruk event diganti menunggu event winter dimana salju map erangel sayang event hitam game mengecewakan berbeda harga elit pas murah seakan skin mythic harganya pensiun game terimakasih,negative
permainan buruk mainin player orang team,negative
maaf tencent updete pubg berar ram enggk update memaki ram sayang ram main player berpindah game sebelah tolong donk pengertiannya komplin game pubg update perubahannya mewakili tementemen,negative
koneksi perbaikin dongjangan kayak game sebelahplayer betah koneksi servergamenya bagus kebanyakan koneksi game player,negative
pensi main pubg update kemarin glag hilang jaringan sinyal bagus emang si ram hp kentang ram udh kali main terima kasih,negative
update main main meledak memory hp udh berat berat frame drop haruskah upgrade device iphone,negative
bagus bug main karakin jatuh ketingian meter knock,negative
updatean memakan memory memberatkan smartphone memory terbatas mohon disiasati updatean memakan memory overall comment,negative
pubg mobile emang menyenangkan bngt tolong tancent jngn mikirin event tolong bug kurangin kali main pubg pas masuk pertempuran ngebug masuk loading trus masuk tolong tancent kurangin gubnya,negative
keluhan mengupdate data untkuk update update mainnya naikin level penurunan rank,negative
verifikasi puzzle geser salah melulu,negative
bintang sendiriyitu errorperbaiki servery biar enak mainin,negative
logi pembaruan membuhtukan mb data seluler terhubung wifi ketuk batal permainan tekan muncul tulisan bawa pembaruan selesai silakan ulang permainan konten ok ulang permainan login mala pembaruan membuhtukan mb muncul,negative
bug masak masuk rumah senjata barang apapun cari senjata bunuh bot cari air drop ngaco pas masuk mobil nyetir gerak mobilnya pas jaringan pakek wifi masak pas lari ngflick super hero udh beli asuransi tencent games elite pass,negative
tencent tolong perbaiki tanda nomber rekan tim ubah tanda pakai nomber ganti efek tubuh efek cahaya efek warna tubuh pakai nomber keliru musuh rekan tim terkadang musuh nomber berdekatan rekan tim saran efek warna cahaya badan rekan tim keliru berdekatan musuh,negative
update new era kayak sampah dpanya pminat game berkurang tdak kpuasan skrnk dlam brmain pubg krna patah prime pdahal jaringan bagus,negative
aplikasi download kali download download udh terulang tolong atasi lapor kemana cepat urus,negative
maaf tencent players pabji enakaan loby tema lada loby sekarangkalo eranggel bagus tinggal tajamkan layarnyatolong kembalikan loby,negative
update versi suara step musuh enak bangettapi update mb updatesuara step musuh tdm clasik enak dengar,negative
update bugrank turun ace crown gerak character screen deh ngeluarin uang game game sampah bug,negative
masuk jendela susah tolong permudah masuk jendela orang masuk jendelaeh mala nyankut musuh mati tuh tolong diperbaiki lupa canted sight dirilis update dbs sotgun,negative
grafiknya bagus masuk match tolong hapus bot game butuh player sejati bermain game gc erengal mudah ditemukan jamin unduh mp vikendi gantikan vector ngetes sengaja semoga tencent membaca ulasan masuk akal ok,negative
mati ditembak suka ngelag microphone bbrapa kali error updatenya gede map perbanyak biar jenuh,negative
season pubg cheater bertambah sistem ban melemah trus orang rugikan game tinggalkan tolong atasi tinggalkan perbaiki,negative
ayolah saudara laki-laki event seru kayak game peace event ngebosenin banget kayak gini melulu,negative
mohon tencentkenapa bermain pubg nge lag delay matinya mengambil senjata ampun jaringannya baik² suka cinta musuh matinya delay skl ivent mecagozila bug² zona lain-lain mohon perbaiki,negative
hallo pubg mobile player tua setia pubg kecekawa semenjak mode season old tiada season saran pubg nge top mode mode malam vikendi erangle mode hujan erangle sanhok hilang pitur masuk akal contoh mati hidup kembalidan update lh keluarkan skin selayaknya mengisahkan perangan skin wibu,negative
saran munculkan fps biar player nentuin pakai manajadi divvice mendukung device loy end merasakan biar adil,negative
uc hilang kumpulkan beli season pakai prime plus pakai beli hitam uc tolong penjelasannya,negative
bug arena masak musuh klasik lompat cendela nyangkut jalan jalan ditempat siyal bagustolong tencent bug perbaiki updatenya udh bagus banget bugnyaterimakasih,negative
pembaruan kali masuk bettlefeild kadang nge bug error mengurangi poin alhasil penurunan teir terima kasih,negative
vv nk vkjgkmhlgv lambat data ful jaringan ful sulit login,negative
ms kuning terkadang turun pesawat ngebug parah sampai² kadang kekick huuhh senang main game,negative
min game war musuh dateng ngelagxa parah tolong bug dibenerin min basmi cheater masak cinta tembok tanah air ngekill parah,negative
tencent fix bug lagging ngeri banget bug laggingnya uang musuh ms pas musuh mata langsung turun otomatis pingnya,negative
kali download kecancel jaringan g kapasitas gadget udh kayak kntl aplikasi gilaa si,negative
update playstore kapasitas update gb bug playstore tencent sengaja pliss balas ulasan kasihan memori sdikit suruh hapus data melulu,negative
pubg login gk masuk masuk sinyal bagus tenaga nyh kenceng penyimpanan kosong tetep login tancent tolong perbaiki,negative
wakili player pemain pubg mobile menghawatirkan sinyal pubg mobile sepenuhnya tencent tolong diperbaiki sinyal bermain patahpatah sinyal hp baikbaik internal kosong kecewa memperbaiki bintang full terima kasih harap tencent mendengarkan keluhan,negative
tingkat kendala contohby nge frame musuh tolong perbaikitingkatkan semoga pubg indo bermain kancah internasional terima kasih,negative
gausah update bikin game rusak peminat tolong developernya update ² game pubg update bug pesawat update ml nengalani penurunan player drastis hp kuat pindah game sebelah,negative
diupdate ngebug parah loading melulu jaringan enak main diupdatetolong berat biar jaringan lemah maenkesel banget,negative
perbaharuitapi perbaharui datanya updatedan updating error,negative
bos upgrade koneksinya parah banget tersendatsendat milih musuh tembak kg tolong perbaiki,negative
